id_cliente,nombre,edad,genero,ciudad,distrito,fecha_registro,canal_preferido,segmento
C00001,Miguel Vargas Rodríguez,51.0,F,Lima,San Miguel,2022-01-09,Tienda,Familiar
C00002,Jaime Mendoza Trujillo,30.0,M,Arequipa,Cayma,2024-01-15,App,Consumidor
C00003,Paola Velásquez Mora,35.0,F,Cusco,Santiago,2022-01-17,Tienda,Consumidor
C00004,Diego Brian Hoyos,40.0,F,Piura,Castilla,2024-03-29,App,Consumidor
C00005,Luis Javier Cano Hernández,35.0,F,Piura,Castilla,2025-09-24,Web,Consumidor
C00006,Elsa Leidy Aguirre Pacheco,47.0,M,Lima,San Juan de Lurigancho,2023-11-23,Tienda,Consumidor
C00007,Juan Iván Hernández,41.0,F,Cusco,San Sebastián,2023-11-24,Tienda,Consumidor
C00008,Luis Benavides Méndez,35.0,F,Lima,Miraflores,2023-11-12,Tienda,Familiar
C00009,Alfonso Javier Villamizar,26.0,F,Lima,San Isidro,2024-08-03,App,Premium
C00010,Camila Moreno,52.0,F,Lima,San Miguel,2025-07-15,App,Consumidor
C00011,Samuel Barbosa Hurtado,42.0,F,Lima,San Juan de Lurigancho,2022-12-14,Tienda,Consumidor
C00012,Lucía Contreras Cardozo,46.0,M,Cusco,Cusco,2023-07-27,Web,Consumidor
C00013,Darwin Juan Cruz,39.0,M,Lima,Miraflores,2024-08-29,Tienda,Premium
C00014,Paola Leidy Valderrama,36.0,M,Lima,Miraflores,2025-03-24,Tienda,Familiar
C00015,Luis Luis Ávila Álvarez,36.0,M,Arequipa,José Luis B. y Rivero,2025-04-17,App,Consumidor
C00016,Marcos Rodríguez León,58.0,F,Piura,Piura,2023-04-08,Tienda,Consumidor
C00017,Liliana Pineda Marín,36.0,M,Lima,,2022-06-16,Tienda,Consumidor
C00018,Luz Marta Marín,40.0,F,Cusco,Cusco,2024-12-28,Tienda,Familiar
C00019,Deisy Virginia Mendoza,42.0,M,Trujillo,El Porvenir,2022-07-11,Web,Consumidor
C00020,Wilson Albeiro Vargas Mena,31.0,F,Arequipa,Cercado,2024-01-31,Tienda,Consumidor
C00021,Felipe Estrada Figueroa,61.0,M,Trujillo,Trujillo,2024-11-12,Tienda,Familiar
C00022,Viviana María Rojas,18.0,F,Arequipa,Cayma,2022-12-27,Tienda,Consumidor
C00023,Esteban Ochoa,45.0,F,Trujillo,La Esperanza,2023-07-17,Tienda,Familiar
C00024,David Aguirre Valencia,41.0,F,Lima,San Miguel,2022-01-17,App,Familiar
C00025,Martha Patricia Quintero,33.0,M,Arequipa,Cayma,2025-06-21,Tienda,Consumidor
C00026,Alberto Caicedo Barreto,26.0,M,Lima,San Juan de Lurigancho,2022-03-18,Web,Familiar
C00027,Edgar Romero Caballero,50.0,F,Lima,San Isidro,2023-06-12,Tienda,Familiar
C00028,Andrea Lucía Galvis Luna,42.0,M,Piura,Castilla,2024-03-19,App,Familiar
C00029,Juan Osorio,36.0,F,Arequipa,Yanahuara,2023-02-09,Tienda,Consumidor
C00030,Inés Rivera Zapata,39.0,F,Trujillo,La Esperanza,2022-06-21,Tienda,Familiar
C00031,Viviana Daza,55.0,M,Lima,Miraflores,2024-02-05,Tienda,Consumidor
C00032,Julio Gerardo Torres,33.0,M,Arequipa,Paucarpata,2022-10-19,App,Consumidor
C00033,Raúl Serrano,33.0,M,Lima,Jesús María,2023-08-18,App,Consumidor
C00034,Albeiro Javier Giraldo,47.0,M,Lima,Comas,2024-04-30,App,Consumidor
C00035,María Lina Giraldo Galindo,31.0,M,Piura,Veintiséis de Octubre,2024-09-11,Tienda,Premium
C00036,Alirio Raúl Velásquez,27.0,F,Trujillo,Trujillo,2022-07-02,Web,Familiar
C00037,Javier Villamizar Bohórquez,43.0,M,Lima,San Isidro,2024-06-17,Tienda,Familiar
C00038,Paola Andrea Garzón,28.0,F,Arequipa,Yanahuara,2023-04-06,App,Consumidor
C00039,Lorenzo Carlos Molina Arias,36.0,F,Lima,Los Olivos,2023-08-06,App,Consumidor
C00040,Dina Luz Medina,42.0,F,Trujillo,Víctor Larco,2023-05-27,Tienda,Consumidor
C00041,Francisco Leonardo Chacón Pineda,37.0,F,Lima,San Isidro,2022-03-28,Tienda,Consumidor
C00042,David Álvarez Rodríguez,39.0,F,Cusco,Santiago,2022-02-15,Web,Consumidor
C00043,Mery Sofía Cruz,35.0,M,Piura,Piura,2024-11-17,Web,Familiar
C00044,Luis López Figueroa,35.0,M,Trujillo,Trujillo,2022-04-08,Tienda,Consumidor
C00045,Enrique Juan García Moreno,56.0,M,Lima,San Miguel,2024-05-09,Web,Consumidor
C00046,Felipe Edison López Molano,74.0,F,Lima,Miraflores,2022-02-13,Tienda,Consumidor
C00047,Henry Hernández Rodríguez,23.0,F,Lima,Santiago de Surco,2023-10-06,Tienda,Consumidor
C00048,Alejandro Ronal Marín Martínez,48.0,M,Lima,Santiago de Surco,2024-04-23,App,Consumidor
C00049,Javier Luis Gómez Díaz,38.0,M,Lima,San Juan de Lurigancho,2025-08-27,Tienda,Premium
C00050,Carmen Luisa Vargas,43.0,F,Arequipa,Cercado,2025-01-16,Tienda,Consumidor
C00051,Carolina Ana Zuluaga,23.0,M,Lima,Santiago de Surco,2023-10-03,Web,Familiar
C00052,Antonio Meneses,46.0,M,Lima,San Isidro,2023-05-01,Tienda,Consumidor
C00053,Erika Rosa Espinosa,34.0,F,Piura,Castilla,2022-03-16,App,Familiar
C00054,Duván García Solano,48.0,F,Lima,Santiago de Surco,2023-09-14,Tienda,Consumidor
C00055,Alexander Andrade,46.0,F,Piura,Piura,2024-05-01,Web,Familiar
C00056,David Luna,56.0,F,Lima,San Juan de Lurigancho,2023-06-03,App,Familiar
C00057,Lina Muñoz Cortés,48.0,F,Lima,San Isidro,2022-02-17,App,Consumidor
C00058,Cristian Gutiérrez,51.0,F,Arequipa,Cercado,2023-10-27,Web,Familiar
C00059,Alberto Montenegro,28.0,M,Trujillo,La Esperanza,2023-03-30,App,Familiar
C00060,Carlos Nicolás Álvarez Ortiz,38.0,M,Piura,Veintiséis de Octubre,2024-10-24,Tienda,Consumidor
C00061,Shirley Paola Prada,,F,Lima,Santiago de Surco,2025-08-08,Tienda,Familiar
C00062,Gustavo Wilson Olaya,51.0,M,Trujillo,La Esperanza,2024-07-13,Tienda,Consumidor
C00063,Vanessa Adriana Salazar,41.0,M,Lima,San Isidro,2024-04-18,Tienda,Consumidor
C00064,Ricardo Pedro Obando Polo,36.0,M,Lima,Jesús María,2025-09-18,App,Consumidor
C00065,Henry Cárdenas Valencia,22.0,F,Lima,San Miguel,2025-02-22,Tienda,Consumidor
C00066,Manuel Ochoa Giraldo,25.0,F,Lima,Los Olivos,2023-08-04,Tienda,Consumidor
C00067,Johan Adolfo Rodríguez,21.0,F,Lima,San Isidro,2024-12-06,Tienda,Consumidor
C00068,Felipe Agudelo Alvarado,40.0,M,Lima,Ate,2025-04-06,App,Familiar
C00069,Ángel Vásquez,36.0,F,Trujillo,Trujillo,2024-08-05,App,Consumidor
C00070,Luz Valencia,34.0,M,Lima,Jesús María,2025-05-07,Web,Familiar
C00071,Eduardo Caro,20.0,F,Lima,Santiago de Surco,2023-06-24,Tienda,Consumidor
C00072,José Torres,40.0,F,Lima,San Miguel,2022-01-16,Tienda,Consumidor
C00073,Martha María Morales,43.0,F,Piura,Veintiséis de Octubre,2024-06-10,Web,Consumidor
C00074,Luis Mario Delgado Garzón,57.0,M,Lima,Comas,2024-08-30,Tienda,Familiar
C00075,Luis Pulido,25.0,M,Lima,San Isidro,2023-03-29,Tienda,Familiar
C00076,Luz Deyanira Gamboa Alzate,40.0,M,Lima,San Miguel,2022-08-21,Tienda,Premium
C00077,Melba Xiomara Camargo,48.0,F,Trujillo,,2025-08-24,App,Consumidor
C00078,Patricia Manrique,28.0,M,Lima,Santiago de Surco,2022-11-03,App,Premium
C00079,Myriam Prieto,44.0,F,Arequipa,Cercado,2024-02-24,Tienda,Familiar
C00080,Arnulfo Velásquez Palacio,27.0,F,Trujillo,Víctor Larco,2024-06-19,Web,Consumidor
C00081,Juan Andrés Álvarez Ortiz,62.0,M,Lima,Santiago de Surco,2025-03-18,App,Consumidor
C00082,Angie Becerra García,43.0,F,Cusco,Wanchaq,2024-07-26,Tienda,Familiar
C00083,Emilio Mendoza Acevedo,39.0,M,Piura,Piura,2022-08-31,App,Consumidor
C00084,Isabel Ocampo,48.0,F,Lima,Jesús María,2025-04-12,Tienda,Consumidor
C00085,Fernanda Ortiz Mena,34.0,M,Lima,Comas,2022-03-14,Tienda,Familiar
C00086,Sandra Pérez Meneses,18.0,M,Arequipa,Cayma,2025-09-28,App,Consumidor
C00087,José López,38.0,F,Lima,La Molina,2024-10-29,Tienda,Familiar
C00088,Jhon Manuel Parada Zuluaga,39.0,M,Cusco,Santiago,2024-11-26,Tienda,Consumidor
C00089,Rosa Camacho,50.0,M,Piura,Castilla,2023-04-27,Tienda,Familiar
C00090,Jaime Ramírez,,M,Arequipa,José Luis B. y Rivero,2024-12-31,Web,Familiar
C00091,Luis Montoya,28.0,M,Trujillo,Trujillo,2023-10-14,Web,Consumidor
C00092,Jessica María Torres,22.0,M,Lima,Los Olivos,2022-06-26,Web,Consumidor
C00093,Kevin Ignacio Pérez,34.0,M,Trujillo,Trujillo,2023-03-22,Tienda,Consumidor
C00094,Esperanza Flor Giraldo Fernández,29.0,M,Lima,San Juan de Lurigancho,2022-01-09,App,Consumidor
C00095,Manuel Juan Díaz Mosquera,27.0,M,Lima,Los Olivos,2022-03-08,Tienda,Consumidor
C00096,Elvia Stella Trujillo,35.0,M,Piura,Piura,2025-04-14,Tienda,Consumidor
C00097,Ernesto Bautista,51.0,M,Lima,Los Olivos,2023-01-14,Web,Familiar
C00098,Mirian Herrera,54.0,M,Cusco,Santiago,2024-09-16,Tienda,Consumidor
C00099,Clara Leidy Caballero Alarcón,41.0,M,Lima,Jesús María,2023-06-27,Tienda,Familiar
C00100,Marcela Medina Angulo,42.0,F,Cusco,San Sebastián,2022-10-19,Web,Premium
C00101,Sandra Luz Bolaños,62.0,M,Lima,Los Olivos,2024-05-07,Tienda,Consumidor
C00102,Andrés Ruiz Jiménez,33.0,F,Lima,Santiago de Surco,2024-09-23,Web,Consumidor
C00103,Gladis Jiménez,51.0,M,Lima,Los Olivos,2024-12-08,App,Consumidor
C00104,Luis Ramírez Ramírez,38.0,F,Trujillo,Víctor Larco,2025-06-24,Web,Consumidor
C00105,María Álvarez,44.0,F,Lima,La Molina,2023-04-07,Tienda,Consumidor
C00106,Eugenia Ruiz,32.0,F,Lima,Comas,2025-08-18,Web,Familiar
C00107,César Guzmán,28.0,F,Trujillo,La Esperanza,2022-04-09,Tienda,Consumidor
C00108,Héctor Ríos Garzón,38.0,M,Trujillo,Trujillo,2025-03-01,Web,Familiar
C00109,Gloria Buitrago,20.0,F,Lima,Santiago de Surco,2024-12-14,Tienda,Consumidor
C00110,Jimmy Mauricio Osorio Pineda,45.0,F,Arequipa,Paucarpata,2023-11-13,Tienda,Premium
C00111,Segundo Alberto Cuesta,42.0,F,Arequipa,José Luis B. y Rivero,2023-05-21,App,Familiar
C00112,Ernesto Sebastián Castellanos,41.0,F,Cusco,San Sebastián,2024-10-12,Tienda,Consumidor
C00113,Marina Saavedra,19.0,M,Cusco,San Sebastián,2024-02-10,Web,Consumidor
C00114,Angélica Gómez,55.0,F,Lima,La Molina,2023-05-22,App,Familiar
C00115,Bibiana Ortega González,43.0,M,Arequipa,José Luis B. y Rivero,2024-12-25,Tienda,Consumidor
C00116,Nilson Fernando Vargas,34.0,F,Lima,Comas,2024-03-21,Web,Consumidor
C00117,Paula Isabel Rojas Pedraza,37.0,M,Lima,Miraflores,2022-12-18,App,Familiar
C00118,Luz Mena,51.0,F,Trujillo,La Esperanza,2024-11-04,Tienda,Consumidor
C00119,Javier Jhon Arenas Franco,37.0,M,Trujillo,El Porvenir,2025-06-29,Tienda,Familiar
C00120,Judith Milena Álvarez Osorio,68.0,F,Lima,San Isidro,2023-05-28,App,Consumidor
C00121,Steven Velásquez Ramírez,36.0,F,Cusco,Wanchaq,2022-06-21,Web,Premium
C00122,Eduardo Morales Rojas,23.0,M,Piura,Veintiséis de Octubre,2022-07-11,Tienda,Consumidor
C00123,Fernando Alexander Forero Ariza,36.0,M,Lima,San Miguel,2023-06-29,Tienda,Familiar
C00124,Iván Edison Mena,37.0,M,Lima,Comas,2023-07-11,Tienda,Familiar
C00125,María Díaz Camargo,27.0,M,Lima,Miraflores,2023-04-16,Tienda,Consumidor
C00126,Yuri Mercedes Correa Cárdenas,18.0,F,Cusco,San Sebastián,2023-05-15,Web,Consumidor
C00127,Edison Camargo,36.0,F,Lima,San Juan de Lurigancho,2023-01-31,Web,Familiar
C00128,Edgar Barrera,35.0,M,Cusco,Cusco,2023-02-21,Tienda,Consumidor
C00129,Wilmer Castaño,54.0,F,Lima,Los Olivos,2023-02-20,Tienda,Familiar
C00130,Edgar Andrés Giraldo,37.0,F,Lima,Ate,2023-04-29,Tienda,Consumidor
C00131,Alfredo Guerrero González,47.0,M,Piura,Castilla,2023-08-26,Tienda,Consumidor
C00132,Luis Martínez,36.0,F,Cusco,San Sebastián,2023-01-01,App,Consumidor
C00133,Paola Valencia Escobar,57.0,F,Lima,La Molina,2024-11-25,App,Familiar
C00134,Aldemar Fernando Gil,30.0,M,Lima,Miraflores,2022-08-27,Tienda,Consumidor
C00135,Ruth Chávez,43.0,F,Trujillo,El Porvenir,2024-02-22,Tienda,Familiar
C00136,Alexis Castro,40.0,F,Arequipa,Cercado,2024-09-14,App,Familiar
C00137,Jenny Patricia Arenas,37.0,M,Cusco,San Sebastián,2022-02-04,Web,Consumidor
C00138,José Giraldo López,41.0,M,Arequipa,José Luis B. y Rivero,2024-02-09,Tienda,Premium
C00139,Diego Julio Rodríguez,46.0,F,Lima,Los Olivos,2023-07-27,Tienda,Familiar
C00140,María Loaiza,27.0,F,Lima,San Miguel,2023-11-21,App,Familiar
C00141,Eugenia Acevedo,35.0,M,Lima,San Miguel,2024-01-11,Tienda,Consumidor
C00142,María Martínez,51.0,M,Lima,San Miguel,2024-08-15,Tienda,Consumidor
C00143,Stella González,55.0,F,Lima,Jesús María,2023-11-20,Tienda,Familiar
C00144,Diana Arenas,22.0,M,Trujillo,El Porvenir,2022-02-11,Web,Familiar
C00145,Esther Manrique Gómez,50.0,M,Piura,Veintiséis de Octubre,2023-10-03,Web,Consumidor
C00146,José José Silva Mora,34.0,F,Cusco,Wanchaq,2024-05-14,Tienda,Familiar
C00147,Edgar Edgar López Salazar,40.0,M,Lima,Comas,2024-05-06,Tienda,Familiar
C00148,Alirio Burbano Suárez,28.0,M,Cusco,Santiago,2022-06-22,App,Consumidor
C00149,Gloria María Díaz Vargas,63.0,F,Lima,La Molina,2024-04-30,Tienda,Consumidor
C00150,Danna María Suárez Méndez,24.0,M,Cusco,Cusco,2023-11-29,Tienda,Premium
C00151,Cielo Álvarez,38.0,M,Lima,,2023-04-23,Web,Familiar
C00152,Juan Marín García,31.0,F,Arequipa,Paucarpata,2022-02-03,Tienda,Consumidor
C00153,Mauricio Quintero Romero,46.0,F,Lima,Ate,2024-03-22,Tienda,Familiar
C00154,Ester María Molano Guerrero,42.0,M,Arequipa,José Luis B. y Rivero,2022-10-27,Tienda,Consumidor
C00155,Rocío López,40.0,M,Piura,Castilla,2022-05-30,Tienda,Premium
C00156,Yulieth Prieto Cardona,44.0,F,Cusco,San Sebastián,2024-06-19,Tienda,Consumidor
C00157,Karol Mesa,25.0,M,Lima,Los Olivos,2024-03-07,Web,Familiar
C00158,Margarita Beltrán Ramírez,56.0,M,Lima,Comas,2024-07-10,Tienda,Familiar
C00159,Victoria Yésica Ramírez,,F,Arequipa,Paucarpata,2023-04-04,Web,Premium
C00160,Mireya Cerón,42.0,M,Trujillo,La Esperanza,2025-04-12,Web,Familiar
C00161,Rocío Luz Velásquez,,M,Piura,Piura,2022-04-13,App,Familiar
C00162,Patricia Margarita Pardo,37.0,F,Trujillo,Víctor Larco,2024-08-21,Tienda,Familiar
C00163,Ester Jacqueline Velandia,26.0,F,Piura,Castilla,2023-02-16,App,Familiar
C00164,Felipe Herrera Muñoz,45.0,F,Trujillo,Víctor Larco,2023-03-29,Web,Consumidor
C00165,Andrés Jhon Parada,42.0,F,Lima,Miraflores,2022-03-22,Web,Consumidor
C00166,Luis César Serna,43.0,M,Piura,Castilla,2024-12-02,Web,Consumidor
C00167,Adela Aguilar Murillo,32.0,F,Lima,Comas,2024-08-01,Tienda,Familiar
C00168,Carmen Julieth Hernández González,38.0,F,Arequipa,Paucarpata,2023-04-14,Tienda,Consumidor
C00169,Liliana Torres Ospino,27.0,F,Trujillo,Víctor Larco,2025-07-13,Tienda,Consumidor
C00170,Jhon Sánchez Guerra,32.0,M,Arequipa,Cayma,2023-10-10,Tienda,Premium
C00171,Azucena Andrade,36.0,M,Trujillo,El Porvenir,2022-01-01,Tienda,Consumidor
C00172,María Ariza Forero,49.0,M,Arequipa,José Luis B. y Rivero,2022-07-24,Tienda,Consumidor
C00173,Dayana Álvarez Barrera,26.0,F,Lima,Miraflores,2023-01-16,App,Consumidor
C00174,Katherine Hernández,33.0,F,Cusco,Santiago,2024-04-01,Tienda,Consumidor
C00175,Beatriz Garcés Aguirre,51.0,M,Trujillo,La Esperanza,2024-10-13,Tienda,Consumidor
C00176,Socorro Carrillo,18.0,M,Lima,Comas,2023-10-03,Tienda,Consumidor
C00177,José Andrés Anaya,47.0,F,Trujillo,El Porvenir,2022-03-02,Web,Consumidor
C00178,Luisa Beatriz Camacho,47.0,M,Lima,San Juan de Lurigancho,2024-10-16,Tienda,Familiar
C00179,José Luis González Chávez,34.0,F,Arequipa,Cercado,2024-10-24,Web,Consumidor
C00180,Lucy Moreno,49.0,M,Lima,Comas,2025-01-11,Web,Premium
C00181,Carolina Díaz Vega,46.0,M,Lima,Los Olivos,2025-01-13,Tienda,Consumidor
C00182,Wilson Ramírez Franco,26.0,M,Lima,Jesús María,2024-05-22,App,Familiar
C00183,Yineth Medina Gómez,51.0,M,Lima,Miraflores,2022-11-04,Web,Familiar
C00184,Luz Ordóñez Castillo,25.0,M,Trujillo,El Porvenir,2022-07-15,Web,Consumidor
C00185,Andrea Diana Salamanca,42.0,F,Lima,Jesús María,2025-02-11,Web,Consumidor
C00186,Andrés Gómez Pérez,19.0,F,Lima,Jesús María,2024-07-10,Tienda,Familiar
C00187,Luisa Iris Barrios Medina,37.0,M,Lima,Santiago de Surco,2022-05-06,Web,Premium
C00188,Alberto David Rincón,40.0,F,Trujillo,Trujillo,2022-02-28,Tienda,Consumidor
C00189,Freddy Estrada Gómez,49.0,M,Piura,Veintiséis de Octubre,2022-06-23,App,Familiar
C00190,Katerine Alicia González Ariza,45.0,M,Arequipa,Cayma,2022-08-30,Tienda,Familiar
C00191,Marina Monsalve,40.0,F,Piura,Veintiséis de Octubre,2022-02-20,Tienda,Consumidor
C00192,Horacio Nelson Prada Cabrera,36.0,F,Arequipa,José Luis B. y Rivero,2022-02-11,App,Premium
C00193,Carol Luz Castellanos,37.0,M,Cusco,Wanchaq,2025-01-29,Tienda,Consumidor
C00194,David Méndez,46.0,F,Arequipa,Cayma,2024-04-13,Tienda,Familiar
C00195,Laura Yaneth Gómez,55.0,M,Cusco,Cusco,2025-02-12,App,Consumidor
C00196,Sneider Rodríguez López,29.0,M,Lima,Ate,2023-10-23,Tienda,Consumidor
C00197,Alberto Giraldo,31.0,M,Arequipa,Paucarpata,2024-03-25,App,Familiar
C00198,Diana Pineda,41.0,M,Lima,La Molina,2022-10-20,Tienda,Consumidor
C00199,Patricia Romero,29.0,M,Lima,Comas,2024-02-20,Tienda,Consumidor
C00200,Luz Sepúlveda Rodríguez,19.0,F,Arequipa,Paucarpata,2022-02-23,Web,Consumidor
C00201,María Mónica Hernández,33.0,F,Lima,San Juan de Lurigancho,2024-09-12,Tienda,Consumidor
C00202,Steven Arévalo,37.0,F,Piura,Piura,2024-09-16,Tienda,Familiar
C00203,Milena Amparo Estrada Hernández,56.0,M,Lima,Ate,2025-07-27,Tienda,Familiar
C00204,Aleida Alejandra Acevedo Luna,39.0,M,Lima,La Molina,2025-01-25,Web,Familiar
C00205,Raúl Arturo Rentería,49.0,F,Lima,San Isidro,2022-06-17,Tienda,Consumidor
C00206,Andrea Ibarra Narváez,41.0,F,Lima,San Isidro,2024-07-29,Web,Familiar
C00207,Alberto Alzate Rico,29.0,M,Lima,Miraflores,2024-03-25,App,Familiar
C00208,Mauricio José Amaya Mosquera,49.0,F,Lima,Miraflores,2024-01-04,Tienda,Consumidor
